date,value
2015-07-01,162754846
2015-07-02,161763738
2015-07-03,152125660
2015-07-04,153035028
2015-07-05,164069312
2015-07-06,181424116
2015-07-07,171904826
2015-07-08,166370571
2015-07-09,165066042
2015-07-10,162493100
2015-07-11,157631791
2015-07-12,174969377
2015-07-13,177984259
2015-07-14,176030520
2015-07-15,168053840
2015-07-16,166547485
2015-07-17,157919395
2015-07-18,152243729
2015-07-19,166658334
2015-07-20,174825592
2015-07-21,168690572
2015-07-22,165827872
2015-07-23,163588483
2015-07-24,159744123
2015-07-25,154975235
2015-07-26,168772704
2015-07-27,175455911
2015-07-28,169788173
2015-07-29,174765823
2015-07-30,162005200
2015-07-31,155882177
2015-08-01,152851524
2015-08-02,163700698
2015-08-03,154731523
2015-08-04,168748843
2015-08-05,168220237
2015-08-06,165015658
2015-08-07,161983725
2015-08-08,155686883
2015-08-09,169332782
2015-08-10,165918372
2015-08-11,169211580
2015-08-12,167019946
2015-08-13,166942642
2015-08-14,161769588
2015-08-15,157175697
2015-08-16,170574538
2015-08-17,175847665
2015-08-18,171905261
2015-08-19,168027752
2015-08-20,165241181
2015-08-21,160815186
2015-08-22,155160665
2015-08-23,172173382
2015-08-24,176201458
2015-08-25,170100553
2015-08-26,165347546
2015-08-27,163044245
2015-08-28,158745956
2015-08-29,153445586
2015-08-30,169054672
2015-08-31,180206823
2015-09-01,169561094
2015-09-02,170279236
2015-09-03,166034897
2015-09-04,159451418
2015-09-05,158083939
2015-09-06,172034080
2015-09-07,181344241
2015-09-08,180625642
2015-09-09,171546086
2015-09-10,167907912
2015-09-11,167748643
2015-09-12,161068274
2015-09-13,177572522
2015-09-14,180754499
2015-09-15,177032736
2015-09-16,168947772
2015-09-17,169148609
2015-09-18,162044619
2015-09-19,156615110
2015-09-20,175528059
2015-09-21,183583957
2015-09-22,176133390
2015-09-23,174978674
2015-09-24,170440153
2015-09-25,164172786
2015-09-26,154574042
2015-09-27,170298846
2015-09-28,179383155
2015-09-29,172308064
2015-09-30,170935401
2015-10-01,161937282
2015-10-02,159485447
2015-10-03,154185052
2015-10-04,170611156
2015-10-05,177167546
2015-10-06,173210677
2015-10-07,175513270
2015-10-08,172669632
2015-10-09,164135452
2015-10-10,157693559
2015-10-11,171419552
2015-10-12,181206068
2015-10-13,180417150
2015-10-14,175775283
2015-10-15,171894480
2015-10-16,162518577
2015-10-17,156823118
2015-10-18,171972014
2015-10-19,180903999
2015-10-20,178817376
2015-10-21,177066475
2015-10-22,173678307
2015-10-23,166042590
2015-10-24,159942636
2015-10-25,175188100
2015-10-26,182060251
2015-10-27,180152840
2015-10-28,176783668
2015-10-29,172808150
2015-10-30,162786181
2015-10-31,155408072
2015-11-01,168415616
2015-11-02,184115524
2015-11-03,176886135
2015-11-04,176499825
2015-11-05,178607709
2015-11-06,168638244
2015-11-07,158742906
2015-11-08,174565711
2015-11-09,185905730
2015-11-10,178041477
2015-11-11,174295149
2015-11-12,173990170
2015-11-13,162712659
2015-11-14,158410720
2015-11-15,177360086
2015-11-16,183531457
2015-11-17,181387094
2015-11-18,179429939
2015-11-19,176097908
2015-11-20,166320338
2015-11-21,161587406
2015-11-22,177115011
2015-11-23,183399834
2015-11-24,177319079
2015-11-25,170156826
2015-11-26,166043911
2015-11-27,160929313
2015-11-28,166619803
